treatment,treatment_factor,session,period,groupID,text,keep,messagecount,wordcount,count_g2,count_g2_percent
1,Zero,1,1,2,invest 5,,7,2,0,0
1,Zero,1,1,3,yo,,7,1,0,0
1,Zero,1,1,1,k,,7,1,0,0
1,Zero,1,1,3,sounds good,,7,2,0,0
1,Zero,1,1,4,ok,,7,1,0,0
1,Zero,1,1,3,how much are you guys investing?,,7,6,0,0
1,Zero,1,1,3,alright good talk,,7,3,0,0
1,Zero,1,3,3,yo,,8,1,0,0
1,Zero,1,3,3,why isn't anyone talking?,,8,4,0,0
1,Zero,1,3,2,what was the total investment from the second period?,,8,9,0,0
1,Zero,1,3,3,...,,8,1,0,0
1,Zero,1,3,3,anyone here?,,8,2,0,0
1,Zero,1,3,4,59,,8,1,0,0
1,Zero,1,3,4,how much do you want to invest in,,8,8,0,0
1,Zero,1,3,2,maximum total payoff is when we invest total of 40,,8,10,0,0
1,Zero,1,5,5,invest between 4 and 5,,35,5,0,0
1,Zero,1,5,2,why,,35,1,0,0
1,Zero,1,5,5,it'll be the higest pay out for everyone,,35,8,0,0
1,Zero,1,5,3,invest 6?,,35,2,0,0
1,Zero,1,5,1,sure,,35,1,0,0
1,Zero,1,5,2,if u invest more than a certain amount u get less back,,35,12,0,0
1,Zero,1,5,2,so no one assign deductions then,,35,6,0,0
1,Zero,1,5,3,do 5,,35,2,0,0
1,Zero,1,5,2,deal?,,35,1,0,0
1,Zero,1,5,5,yeah ,,35,2,0,0
1,Zero,1,5,2,i dont get y 5 doesnt understand this,,35,8,0,0
1,Zero,1,5,3,its 1 and 4 that have been doing 12...,,35,9,0,0
1,Zero,1,5,4,who keeps doing deductions! you know youre taking money away from yourself!,,35,12,0,0
1,Zero,1,5,5,yeah come on guy,,35,4,0,0
1,Zero,1,5,4,lets do 6,,35,3,0,0
1,Zero,1,5,2,ok,,35,1,0,0
1,Zero,1,5,3,ok,,35,1,0,0
1,Zero,1,5,4,no idea. 5 doesnt listen,,35,5,0,0
1,Zero,1,5,2,do you get 12 tokens every time or just in total for the whole experiment?,,35,15,0,0
1,Zero,1,5,5,so we're all doing 5?,,35,5,0,0
1,Zero,1,5,3,12 everytime,,35,2,0,0
1,Zero,1,5,4,12 every time,,35,3,0,0
1,Zero,1,5,3,nooo,,35,1,0,0
1,Zero,1,5,5,everytime,,35,1,0,0
1,Zero,1,5,3,4,,35,1,0,0
1,Zero,1,5,2,5,,35,1,0,0
1,Zero,1,5,3,dont do 12,,35,3,0,0
1,Zero,1,5,3,if you do 12 you will get deductions,,35,8,0,0
1,Zero,1,5,2,so 4 or 5,,35,4,0,0
1,Zero,1,5,2,?,,35,1,0,0
1,Zero,1,5,3,yes,,35,1,0,0
1,Zero,1,5,5,"no, don't invest 12",,35,4,0,0
1,Zero,1,5,3,5,,35,1,0,0
1,Zero,1,5,5,invest 5,,35,2,0,0
1,Zero,1,5,2,ok,,35,1,0,0
1,Zero,1,7,3,have people been giving deductions to member 1?,,23,8,1,4.35
1,Zero,1,7,4,how much,,23,2,1,4.35
1,Zero,1,7,2,i give up group member 5 is too selfish for this chat to work,,23,14,1,4.35
1,Zero,1,7,5,investing 12 is idiotic,,23,4,1,4.35
1,Zero,1,7,3,the guy that has been doing 12 each time?,,23,9,1,4.35
1,Zero,1,7,3,yeah,,23,1,1,4.35
1,Zero,1,7,5,i'm not lying,,23,3,1,4.35
1,Zero,1,7,5,"if we all invest 5, we'll make the most amount of money",,23,12,1,4.35
1,Zero,1,7,3,is there even a 5? cause there are suppose to be 4 ppl in group2?,,23,15,1,4.35
1,Zero,1,7,3,group1*,,23,1,1,4.35
1,Zero,1,7,3,have you been giving him deduction points though?,,23,8,1,4.35
1,Zero,1,7,3,no i know,,23,3,1,4.35
1,Zero,1,7,4,so we're no longer going to agree on a number?,,23,10,1,4.35
1,Zero,1,7,2,5,,23,1,1,4.35
1,Zero,1,7,5,yeah a ton,,23,3,1,4.35
1,Zero,1,7,3,all of us have done 5,,23,6,1,4.35
1,Zero,1,7,3,okay i have been doing 15,,23,6,1,4.35
1,Zero,1,7,5,alright cool i'll do more next time,,23,7,1,4.35
1,Zero,1,7,5,what a facist ,,23,4,1,4.35
1,Zero,1,7,3,haha,,23,1,1,4.35
1,Zero,1,7,2,didnt you see on deductions page there was a member putting 12 or 11 every time,,23,16,1,4.35
1,Zero,1,7,4,lol,,23,1,1,4.35
1,Zero,1,7,1,yeah,,23,1,1,4.35
1,Zero,1,9,5,damn it,,31,2,0,0
1,Zero,1,9,4,we need to make like 40,,31,6,0,0
1,Zero,1,9,4,lets all invest 4,,31,4,0,0
1,Zero,1,9,5,just do 4 or 5 each with no reductions,,31,9,0,0
1,Zero,1,9,2,someone keeps deducting,,31,3,0,0
1,Zero,1,9,2,if every member of both groups puts exactly 5 in we would all get 177.8 from the account,,31,18,0,0
1,Zero,1,9,3,do 5,,31,2,0,0
1,Zero,1,9,4,lets invest less though to compensate for group 5,,31,9,0,0
1,Zero,1,9,4,no 4,,31,2,0,0
1,Zero,1,9,4,cause member 5 always puts a lot,,31,7,0,0
1,Zero,1,9,3,4 is too low,,31,4,0,0
1,Zero,1,9,3,yeah,,31,1,0,0
1,Zero,1,9,2,5 has the highest payoff,,31,5,0,0
1,Zero,1,9,1,sounds good,,31,2,0,0
1,Zero,1,9,5,"if you do more than 4 or 5 then if throws off the investment in the account, and then you'll get penalized - ending up with less money than if all did 4 or 5",,31,35,0,0
1,Zero,1,9,2,for all of us,,31,4,0,0
1,Zero,1,9,2,then we get less return and 5 gets more,,31,9,0,0
1,Zero,1,9,4,we have to bring down the number to get a higher payout,,31,12,0,0
1,Zero,1,9,4,do you guys ever put deductions on him?,,31,8,0,0
1,Zero,1,9,1,so how much?,,31,3,0,0
1,Zero,1,9,2,the number needs to be around 40,,31,7,0,0
1,Zero,1,9,2,sometimes,,31,1,0,0
1,Zero,1,9,4,do 4,,31,2,0,0
1,Zero,1,9,3,im doing 5,,31,3,0,0
1,Zero,1,9,5,"yeah, 4",,31,2,0,0
1,Zero,1,9,4,lets all put deductions on him ,,31,7,0,0
1,Zero,1,9,4,4!,,31,1,0,0
1,Zero,1,9,3,5,,31,1,0,0
1,Zero,1,9,4,and invest 3 or 4,,31,5,0,0
1,Zero,1,9,2,4,,31,1,0,0
1,Zero,1,9,3,okay,,31,1,0,0
1,Zero,1,11,5,go 4,,31,2,6,19.35
1,Zero,1,11,4,do 4,,31,2,6,19.35
1,Zero,1,11,5,it's better to be under,,31,5,6,19.35
1,Zero,1,11,2,everyone?,,31,1,6,19.35
1,Zero,1,11,4,lets do 3 or 4,,31,5,6,19.35
1,Zero,1,11,5,look at the table in the packet,,31,7,6,19.35
1,Zero,1,11,3,i think 5 is better,,31,5,6,19.35
1,Zero,1,11,3,ok,,31,1,6,19.35
1,Zero,1,11,5,44 = 589,,31,3,6,19.35
1,Zero,1,11,2,i think ill stick to 4,,31,6,6,19.35
1,Zero,1,11,2,yeah 4,,31,2,6,19.35
1,Zero,1,11,1,yeah 4,,31,2,6,19.35
1,Zero,1,11,4,ok thats fine,,31,3,6,19.35
1,Zero,1,11,5,36 = 597,,31,3,6,19.35
1,Zero,1,11,3,im telling you,,31,3,6,19.35
1,Zero,1,11,4,continue,,31,1,6,19.35
1,Zero,1,11,3,the less we do,,31,4,6,19.35
1,Zero,1,11,3,the more group 2 will invest,,31,6,6,19.35
1,Zero,1,11,3,just do 5,,31,3,6,19.35
1,Zero,1,11,2,well we want to be around that but group 2 is around 23/21 everytime,,31,14,6,19.35
1,Zero,1,11,5,yeah 4,,31,2,6,19.35
1,Zero,1,11,4,4s better cause team 2 keeps contributing about 20,,31,9,6,19.35
1,Zero,1,11,3,if we go down,,31,4,6,19.35
1,Zero,1,11,3,they will go up,,31,4,6,19.35
1,Zero,1,11,5,4 is better regardless of group 2,,31,7,6,19.35
1,Zero,1,11,2,yes,,31,1,6,19.35
1,Zero,1,11,2,i agree,,31,2,6,19.35
1,Zero,1,11,3,im doing 5,,31,3,6,19.35
1,Zero,1,11,5,if you go under 40 the return is higher than if you go above it,,31,15,6,19.35
1,Zero,1,11,5,the two groups are irrelevant ,,31,6,6,19.35
1,Zero,1,11,5,it's better to be under,,31,5,6,19.35
1,Zero,1,13,5,omg just do 4,,35,4,9,25.71
1,Zero,1,13,2,yes,,35,1,9,25.71
1,Zero,1,13,2,wish we could deduct from group 2,,35,7,9,25.71
1,Zero,1,13,5,if you do 5 its worse for you and the group,,35,11,9,25.71
1,Zero,1,13,2,if one person does 5 it throws it off,,35,9,9,25.71
1,Zero,1,13,5,seriously,,35,1,9,25.71
1,Zero,1,13,3,3 people have been doing 5,,35,6,9,25.71
1,Zero,1,13,3,just come up,,35,3,9,25.71
1,Zero,1,13,2,4 you get the most money,,35,6,9,25.71
1,Zero,1,13,5,"yeah, you",,35,2,9,25.71
1,Zero,1,13,2,3 ppl are investing total of 25,,35,7,9,25.71
1,Zero,1,13,3,its fine,,35,2,9,25.71
1,Zero,1,13,3,yeah,,35,1,9,25.71
1,Zero,1,13,3,5 is fair,,35,3,9,25.71
1,Zero,1,13,5,no it's dumb,,35,3,9,25.71
1,Zero,1,13,3,there are 8 people total,,35,5,9,25.71
1,Zero,1,13,4,lets invest a lot too this round then,,35,8,9,25.71
1,Zero,1,13,2,plus group two ,,35,4,9,25.71
1,Zero,1,13,3,40/8 = 5,,35,3,9,25.71
1,Zero,1,13,5,use simple logic,,35,3,9,25.71
1,Zero,1,13,5,yeah,,35,1,9,25.71
1,Zero,1,13,5,but group 2 only has 3 people,,35,7,9,25.71
1,Zero,1,13,3,so group 2 is the one that is messing us up,,35,11,9,25.71
1,Zero,1,13,3,like 7?,,35,2,9,25.71
1,Zero,1,13,2,they add about 22 everytime,,35,5,9,25.71
1,Zero,1,13,5,and get dimished returns? I think not,,35,7,9,25.71
1,Zero,1,13,3,not that we invest 5,,35,5,9,25.71
1,Zero,1,13,5,so they've been investing 7 each to reach 21,,35,9,9,25.71
1,Zero,1,13,3,"yeah, its unfair",,35,3,9,25.71
1,Zero,1,13,5,diminished*,,35,1,9,25.71
1,Zero,1,13,5,they are using less people to reach the same amount as us,,35,12,9,25.71
1,Zero,1,13,3,but im not going down to make it better for them,,35,11,9,25.71
1,Zero,1,13,5,invest four or so,,35,4,9,25.71
1,Zero,1,13,5,make it up for you,,35,5,9,25.71
1,Zero,1,13,5,make more $$$$$,,35,3,9,25.71
1,Zero,1,15,5,it's the last round,,23,4,1,4.35
1,Zero,1,15,5,just do 4,,23,3,1,4.35
1,Zero,1,15,3,ALL BETS ARE OFF!!!,,23,4,1,4.35
1,Zero,1,15,2,with NO deductions?,,23,3,1,4.35
1,Zero,1,15,3,jk,,23,1,1,4.35
1,Zero,1,15,4,do 4 for christs sake,,23,5,1,4.35
1,Zero,1,15,5,do 4 each,,23,3,1,4.35
1,Zero,1,15,5,it amkes by far the most sense,,23,7,1,4.35
1,Zero,1,15,3,fine,,23,1,1,4.35
1,Zero,1,15,5,if we all bet like that we clearly all lose out. good faith agreement for investment of only 4-5?,,23,19,1,4.35
1,Zero,1,15,5,and the one round we did it we made the most amount of money,,23,14,1,4.35
1,Zero,1,15,2,yesss,,23,1,1,4.35
1,Zero,1,15,2,#1 has been silent,,23,4,1,4.35
1,Zero,1,15,3,i know right?,,23,3,1,4.35
1,Zero,1,15,1,;),,23,1,1,4.35
1,Zero,1,15,2,guess they're not a team player,,23,6,1,4.35
1,Zero,1,15,3,sneaky,,23,1,1,4.35
1,Zero,1,15,2,:P,,23,1,1,4.35
1,Zero,1,15,5,probably a slytherin ,,23,4,1,4.35
1,Zero,1,15,2,HAHA,,23,1,1,4.35
1,Zero,1,15,3,well said,,23,2,1,4.35
1,Zero,1,15,2,so 4,,23,2,1,4.35
1,Zero,1,15,5,4,,23,1,1,4.35
1,Zero,2,1,4,oi,,37,1,4,10.81
1,Zero,2,1,3,hello,,37,1,4,10.81
1,Zero,2,1,5,hey,,37,1,4,10.81
1,Zero,2,1,2,HI,,37,1,4,10.81
1,Zero,2,1,3,hello,,37,1,4,10.81
1,Zero,2,1,1,hey,,37,1,4,10.81
1,Zero,2,1,5,Hello?,,37,1,4,10.81
1,Zero,2,1,1,hi,,37,1,4,10.81
1,Zero,2,1,4,hi,,37,1,4,10.81
1,Zero,2,1,4,I don't see any reason not to invest big and do no deductions,,37,13,4,10.81
1,Zero,2,1,2,Hi,,37,1,4,10.81
1,Zero,2,1,3,so the max payoff is if there's 40 tokens in the account,,37,12,4,10.81
1,Zero,2,1,2,everybody do 8?,,37,3,4,10.81
1,Zero,2,1,4,why?,,37,1,4,10.81
1,Zero,2,1,3,but theres group 2 also,,37,5,4,10.81
1,Zero,2,1,2,everytime?,,37,1,4,10.81
1,Zero,2,1,1,if everyone invests to big we all lose moey,,37,9,4,10.81
1,Zero,2,1,2,How much are we investing today,,37,6,4,10.81
1,Zero,2,1,4,so 8 it is?,,37,4,4,10.81
1,Zero,2,1,3,it says at the back of the instruction sheet,,37,9,4,10.81
1,Zero,2,1,1,should we agree to invest all our coins?,,37,8,4,10.81
1,Zero,2,1,2,does their money get taken into account in our account?,,37,10,4,10.81
1,Zero,2,1,3,so it should be 5 each accounting for group 2,,37,10,4,10.81
1,Zero,2,1,3,yeah,,37,1,4,10.81
1,Zero,2,1,4,aight 5 it is,,37,4,4,10.81
1,Zero,2,1,5,I don't know if that's a good idea,,37,8,4,10.81
1,Zero,2,1,5,ok,,37,1,4,10.81
1,Zero,2,1,2,ok,,37,1,4,10.81
1,Zero,2,1,3,the problem is that we cant communicate with them...,,37,9,4,10.81
1,Zero,2,1,2,we need the 2 tokens too,,37,6,4,10.81
1,Zero,2,1,3,what happens if we invest all our coins,,37,8,4,10.81
1,Zero,2,1,1,then should we have a fixed number?,,37,7,4,10.81
1,Zero,2,1,1,if group 2 invests big we have to deduct them,,37,10,4,10.81
1,Zero,2,1,2,the fixed number is good,,37,5,4,10.81
1,Zero,2,1,5,If we invest too much the payoff might go down,,37,10,4,10.81
1,Zero,2,1,2,5,,37,1,4,10.81
1,Zero,2,1,1,yes,,37,1,4,10.81
1,Zero,2,3,4,5 all around?,,38,3,1,2.63
1,Zero,2,3,5,If we invest too much our payoff goes down...,,38,9,1,2.63
1,Zero,2,3,3,yeah,,38,1,1,2.63
1,Zero,2,3,5,ya,,38,1,1,2.63
1,Zero,2,3,2,"yup, works great",,38,3,1,2.63
1,Zero,2,3,1,"my bad, i thought we agreed on 8 the first time",,38,11,1,2.63
1,Zero,2,3,2,TRUE,,38,1,1,2.63
1,Zero,2,3,5,what about with the deduction stuff what wer people doing,,38,10,1,2.63
1,Zero,2,3,3,we should make a set number and stick to it,,38,10,1,2.63
1,Zero,2,3,3,no deductions,,38,2,1,2.63
1,Zero,2,3,5,6 or 7 maybe?,,38,4,1,2.63
1,Zero,2,3,4,theres no need to deduct if we all do 5,,38,10,1,2.63
1,Zero,2,3,1,7,,38,1,1,2.63
1,Zero,2,3,2,"thats cool, just keep doing what were doing we'll all walk outta here with good money",,38,16,1,2.63
1,Zero,2,3,3,7 sounds good,,38,3,1,2.63
1,Zero,2,3,1,as long as everyone puts in 5,,38,7,1,2.63
1,Zero,2,3,2,7 sounds good,,38,3,1,2.63
1,Zero,2,3,5,I agree to 7,,38,4,1,2.63
1,Zero,2,3,3,yeah,,38,1,1,2.63
1,Zero,2,3,5,ok,,38,1,1,2.63
1,Zero,2,3,3,great,,38,1,1,2.63
1,Zero,2,3,4,sounds good.,,38,2,1,2.63
