treatment,subject,group,type,group1_id,group2_id,period,first,h,group_h,in_h,out_h,shp,pp,hp,transfer,ip,typep,s_a,s,s_v,s_l,mon,g_norm,other_g_norm,ls,deltah,dev,ldev,OverUnder,lOverUnder,fp,cp
1,1101,11,2,0,2,1,1,7,61,40,21,402.6,10,46.2,88.8,145,"0",0,0,0,0,0,7.625,7.714286,,,-.7142859,,0,,145,145
1,1101,11,2,0,2,2,1,8,54,34,20,507.6,8,75.2,88.8,172,"0",0,0,0,0,0,6.75,6.571429,0,1,1.428571,-.7142859,1,0,172,317
1,1101,11,2,0,2,3,1,10,59,38,21,436.6,4,74,88.8,166.8,"0",0,0,0,0,0,7.375,7,0,2,3,1.428571,1,1,166.8,483.8
1,1101,11,2,0,2,4,1,8,53,37,16,519.4,8,78.4,88.8,175.2,"0",0,0,0,0,0,6.625,6.428571,0,-2,1.571429,3,1,1,175.2,659
1,1101,11,2,0,2,5,1,9,51,32,19,540.6,6,95.4,88.8,190.2,"0",0,0,0,0,0,6.375,6,0,1,3,1.571429,1,1,190.2,849.2
1,1101,11,2,0,2,6,1,8,51,32,19,540.6,8,84.8,88.8,181.6,"0",0,0,0,0,0,6.375,6.142857,0,-1,1.857143,3,1,1,181.6,1030.8
1,1101,11,2,0,2,7,1,11,54,32,22,507.6,2,103.4,88.8,194.2,"0",0,0,0,0,0,6.75,6.142857,0,3,4.857143,1.857143,1,1,194.2,1225
1,1101,11,2,0,2,8,2,12,56,32,24,481.6,0,103.2,88.8,192,"0",0,0,0,0,0,7,6.285714,0,1,5.714286,4.857143,1,1,192,1417
1,1101,11,2,0,2,9,2,8,44,24,20,589.6,8,107.2,88.8,204,"0",0,0,0,0,0,5.5,5.142857,0,-4,2.857143,5.714286,1,1,204,1621
1,1101,11,2,0,2,10,2,12,48,25,23,566.4,0,141.6,88.8,230.4,"0",0,0,0,0,0,6,5.142857,0,4,6.857143,2.857143,1,1,230.4,1851.4
1,1101,11,2,0,2,11,2,12,44,21,23,589.6,0,160.8,88.8,249.6,"0",0,0,0,0,0,5.5,4.571429,0,0,7.428571,6.857143,1,1,249.6,2101
1,1101,11,2,0,2,12,2,12,46,23,23,579.6,0,151.2,88.8,240,"0",0,0,0,0,0,5.75,4.857143,0,0,7.142857,7.428571,1,1,240,2341
1,1101,11,2,0,2,13,2,10,48,25,23,566.4,4,118,88.8,210.8,"0",0,0,0,0,0,6,5.428571,0,-2,4.571429,7.142857,1,1,210.8,2551.8
1,1101,11,2,0,2,14,2,12,47,23,24,573.4,0,146.4,88.8,235.2,"0",0,0,0,0,0,5.875,5,0,2,7,4.571429,1,1,235.2,2787
1,1101,11,2,0,2,15,2,12,64,36,28,345.6,0,64.8,88.8,153.6,"0",0,0,0,0,0,8,7.428571,0,0,4.571429,7,1,1,153.6,2940.6
1,1102,11,2,0,1,1,1,6,61,40,21,402.6,12,39.6,88.8,140.4,"0",0,0,0,0,0,7.625,7.857143,,,-1.857143,,0,,140.4,140.4
1,1102,11,2,0,1,2,1,5,54,34,20,507.6,14,47,88.8,149.8,"0",0,0,0,0,0,6.75,7,0,-1,-2,-1.857143,0,0,149.8,290.2
1,1102,11,2,0,1,3,1,4,59,38,21,436.6,16,29.6,88.8,134.4,"0",0,0,0,0,0,7.375,7.857143,0,-1,-3.857143,-2,0,0,134.4,424.6
1,1102,11,2,0,1,4,1,3,53,37,16,519.4,18,29.4,88.8,136.2,"0",0,0,0,0,0,6.625,7.142857,0,-1,-4.142857,-3.857143,0,0,136.2,560.8
1,1102,11,2,0,1,5,1,5,51,32,19,540.6,14,53,88.8,155.8,"0",0,0,0,0,0,6.375,6.571429,0,2,-1.571429,-4.142857,0,0,155.8,716.6
1,1102,11,2,0,1,6,1,5,51,32,19,540.6,14,53,88.8,155.8,"0",0,0,0,0,0,6.375,6.571429,0,0,-1.571429,-1.571429,0,0,155.8,872.4
1,1102,11,2,0,1,7,1,5,54,32,22,507.6,14,47,88.8,149.8,"0",0,0,0,0,0,6.75,7,0,0,-2,-1.571429,0,0,149.8,1022.2
1,1102,11,2,0,1,8,2,6,56,32,24,481.6,12,51.6,88.8,152.4,"0",0,0,0,0,0,7,7.142857,0,1,-1.142857,-2,0,0,152.4,1174.6
1,1102,11,2,0,1,9,2,6,44,24,20,589.6,12,80.4,88.8,181.2,"0",0,0,0,0,0,5.5,5.428571,0,0,.5714288,-1.142857,1,0,181.2,1355.8
1,1102,11,2,0,1,10,2,6,48,25,23,566.4,12,70.8,88.8,171.6,"0",0,0,0,0,0,6,6,0,0,0,.5714288,0,1,171.6,1527.4
1,1102,11,2,0,1,11,2,6,44,21,23,589.6,12,80.4,88.8,181.2,"0",0,0,0,0,0,5.5,5.428571,0,0,.5714288,0,1,0,181.2,1708.6
1,1102,11,2,0,1,12,2,6,46,23,23,579.6,12,75.6,88.8,176.4,"0",0,0,0,0,0,5.75,5.714286,0,0,.2857141,.5714288,1,1,176.4,1885
1,1102,11,2,0,1,13,2,8,48,25,23,566.4,8,94.4,88.8,191.2,"0",0,0,0,0,0,6,5.714286,0,2,2.285714,.2857141,1,1,191.2,2076.2
1,1102,11,2,0,1,14,2,8,47,23,24,573.4,8,97.6,88.8,194.4,"0",0,0,0,0,0,5.875,5.571429,0,0,2.428571,2.285714,1,1,194.4,2270.6
1,1102,11,2,0,1,15,2,10,64,36,28,345.6,4,54,88.8,146.8,"0",0,0,0,0,0,8,7.714286,0,2,2.285714,2.428571,1,1,146.8,2417.4
1,1103,11,1,3,0,1,1,7,61,40,21,402.6,10,46.2,88.8,145,"1",40,1,3,43,1,7.625,7.714286,,,-.7142859,,0,,102,102
1,1103,11,1,3,0,2,1,7,54,34,20,507.6,10,65.8,88.8,164.6,"1",15,1,3,18,1,6.75,6.714286,1,0,.2857141,-.7142859,1,0,146.6,248.6
1,1103,11,1,3,0,3,1,7,59,38,21,436.6,10,51.8,88.8,150.6,"1",40,1,3,43,1,7.375,7.428571,1,0,-.4285712,.2857141,0,1,107.6,356.2
1,1103,11,1,3,0,4,1,7,53,37,16,519.4,10,68.6,88.8,167.4,"1",60,1,3,63,1,6.625,6.571429,1,0,.4285712,-.4285712,1,0,104.4,460.6
1,1103,11,1,3,0,5,1,5,51,32,19,540.6,14,53,88.8,155.8,"1",15,0,0,15,1,6.375,6.571429,1,-2,-1.571429,.4285712,0,1,140.8,601.4
1,1103,11,1,3,0,6,1,5,51,32,19,540.6,14,53,88.8,155.8,"1",15,1,3,18,1,6.375,6.571429,0,0,-1.571429,-1.571429,0,0,137.8,739.2
1,1103,11,1,3,0,7,1,5,54,32,22,507.6,14,47,88.8,149.8,"1",15,1,3,18,1,6.75,7,1,0,-2,-1.571429,0,0,131.8,871
1,1103,11,1,3,0,8,2,6,56,32,24,481.6,12,51.6,88.8,152.4,"1",0,1,3,3,1,7,7.142857,1,1,-1.142857,-2,0,0,149.4,1020.4
