Period,Sender,Receiver,Type,Points,Profit,ID,Group,TypeP,Group1_ID,Group2_ID
1,1,3,1,1,179.8,3,1,-,3,0
1,1,5,1,0,166.4,2,1,-,2,0
1,1,6,1,0,166.4,1,1,-,1,0
1,1,7,1,0,166.4,4,1,-,4,0
1,2,1,1,0,166.4,5,1,-,5,0
1,2,3,1,0,179.8,3,1,-,3,0
1,2,5,1,0,166.4,2,1,-,2,0
1,2,6,1,0,166.4,1,1,-,1,0
1,2,7,1,0,166.4,4,1,-,4,0
1,3,1,1,0,166.4,5,1,-,5,0
1,3,5,1,0,166.4,2,1,-,2,0
1,3,6,1,0,166.4,1,1,-,1,0
1,3,7,1,0,166.4,4,1,-,4,0
1,4,1,1,0,166.4,5,1,-,5,0
1,4,3,1,0,179.8,3,1,-,3,0
1,4,5,1,0,166.4,2,1,-,2,0
1,4,6,1,0,166.4,1,1,-,1,0
1,4,7,1,0,166.4,4,1,-,4,0
1,5,1,1,1,166.4,5,1,-,5,0
1,5,3,1,1,179.8,3,1,-,3,0
1,5,6,1,0,166.4,1,1,-,1,0
1,5,7,1,1,166.4,4,1,-,4,0
1,6,1,1,0,166.4,5,1,-,5,0
1,6,3,1,0,179.8,3,1,-,3,0
1,6,5,1,0,166.4,2,1,-,2,0
1,6,7,1,0,166.4,4,1,-,4,0
1,7,1,1,0,166.4,5,1,-,5,0
1,7,3,1,0,179.8,3,1,-,3,0
1,7,5,1,0,166.4,2,1,-,2,0
1,7,6,1,0,166.4,1,1,-,1,0
1,8,1,1,0,166.4,5,1,-,5,0
1,8,3,1,0,179.8,3,1,-,3,0
1,8,5,1,0,166.4,2,1,-,2,0
1,8,6,1,0,166.4,1,1,-,1,0
1,8,7,1,0,166.4,4,1,-,4,0
1,9,11,1,0,163.8,2,2,-,2,0
1,9,12,1,0,163.8,4,2,-,4,0
1,9,15,1,0,163.8,5,2,-,5,0
1,9,16,1,0,163.8,3,2,-,3,0
1,10,9,1,0,163.8,1,2,-,1,0
1,10,11,1,0,163.8,2,2,-,2,0
1,10,12,1,0,163.8,4,2,-,4,0
1,10,15,1,0,163.8,5,2,-,5,0
1,10,16,1,0,163.8,3,2,-,3,0
1,11,9,1,0,163.8,1,2,-,1,0
1,11,12,1,0,163.8,4,2,-,4,0
1,11,15,1,0,163.8,5,2,-,5,0
1,11,16,1,0,163.8,3,2,-,3,0
1,12,9,1,0,163.8,1,2,-,1,0
1,12,11,1,0,163.8,2,2,-,2,0
1,12,15,1,0,163.8,5,2,-,5,0
1,12,16,1,0,163.8,3,2,-,3,0
1,13,9,1,0,163.8,1,2,-,1,0
1,13,11,1,0,163.8,2,2,-,2,0
1,13,12,1,0,163.8,4,2,-,4,0
1,13,15,1,0,163.8,5,2,-,5,0
1,13,16,1,0,163.8,3,2,-,3,0
1,14,9,1,0,163.8,1,2,-,1,0
1,14,11,1,0,163.8,2,2,-,2,0
1,14,12,1,0,163.8,4,2,-,4,0
1,14,15,1,0,163.8,5,2,-,5,0
1,14,16,1,0,163.8,3,2,-,3,0
1,15,9,1,0,163.8,1,2,-,1,0
1,15,11,1,0,163.8,2,2,-,2,0
1,15,12,1,0,163.8,4,2,-,4,0
1,15,16,1,0,163.8,3,2,-,3,0
1,16,9,1,0,163.8,1,2,-,1,0
1,16,11,1,0,163.8,2,2,-,2,0
1,16,12,1,0,163.8,4,2,-,4,0
1,16,15,1,0,163.8,5,2,-,5,0
1,1,2,2,2,193.2,3,1,-,0,3
1,1,4,2,1,179.8,1,1,-,0,1
1,1,8,2,2,206.6,2,1,-,0,2
1,2,4,2,0,179.8,1,1,-,0,1
1,2,8,2,0,206.6,2,1,-,0,2
1,3,2,2,2,193.2,3,1,-,0,3
1,3,4,2,1,179.8,1,1,-,0,1
1,3,8,2,1,206.6,2,1,-,0,2
1,4,2,2,0,193.2,3,1,-,0,3
1,4,8,2,0,206.6,2,1,-,0,2
1,5,2,2,0,193.2,3,1,-,0,3
1,5,4,2,0,179.8,1,1,-,0,1
1,5,8,2,0,206.6,2,1,-,0,2
1,6,2,2,0,193.2,3,1,-,0,3
1,6,4,2,0,179.8,1,1,-,0,1
1,6,8,2,0,206.6,2,1,-,0,2
1,7,2,2,0,193.2,3,1,-,0,3
1,7,4,2,0,179.8,1,1,-,0,1
1,7,8,2,0,206.6,2,1,-,0,2
1,8,2,2,0,193.2,3,1,-,0,3
1,8,4,2,0,179.8,1,1,-,0,1
1,9,10,2,0,163.8,1,2,-,0,1
1,9,13,2,0,163.8,2,2,-,0,2
1,9,14,2,2,235.2,3,2,-,0,3
1,10,13,2,0,163.8,2,2,-,0,2
1,10,14,2,0,235.2,3,2,-,0,3
1,11,10,2,0,163.8,1,2,-,0,1
1,11,13,2,0,163.8,2,2,-,0,2
1,11,14,2,0,235.2,3,2,-,0,3
1,12,10,2,0,163.8,1,2,-,0,1
1,12,13,2,0,163.8,2,2,-,0,2
1,12,14,2,0,235.2,3,2,-,0,3
1,13,10,2,0,163.8,1,2,-,0,1
1,13,14,2,0,235.2,3,2,-,0,3
