Period,Sender,Receiver,Type,Points,Profit,ID,Group,TypeP,Group1_ID,Group2_ID
1,1,3,1,0,145,3,1,1,3,0
1,1,4,1,0,122,2,1,1,2,0
1,1,5,1,0,145,5,1,1,5,0
1,1,7,1,0,168,1,1,1,1,0
1,1,8,1,0,168,4,1,1,4,0
1,2,3,1,0,145,3,1,1,3,0
1,2,4,1,0,122,2,1,1,2,0
1,2,5,1,0,145,5,1,1,5,0
1,2,7,1,0,168,1,1,1,1,0
1,2,8,1,0,168,4,1,1,4,0
1,3,4,1,0,122,2,1,1,2,0
1,3,5,1,0,145,5,1,1,5,0
1,3,7,1,20,168,1,1,1,1,0
1,3,8,1,20,168,4,1,1,4,0
1,4,3,1,0,145,3,1,1,3,0
1,4,5,1,0,145,5,1,1,5,0
1,4,7,1,0,168,1,1,1,1,0
1,4,8,1,0,168,4,1,1,4,0
1,5,3,1,0,145,3,1,1,3,0
1,5,4,1,1,122,2,1,1,2,0
1,5,7,1,0,168,1,1,1,1,0
1,5,8,1,0,168,4,1,1,4,0
1,6,3,1,0,145,3,1,1,3,0
1,6,4,1,0,122,2,1,1,2,0
1,6,5,1,0,145,5,1,1,5,0
1,6,7,1,0,168,1,1,1,1,0
1,6,8,1,0,168,4,1,1,4,0
1,7,3,1,1,145,3,1,1,3,0
1,7,4,1,0,122,2,1,1,2,0
1,7,5,1,1,145,5,1,1,5,0
1,7,8,1,1,168,4,1,1,4,0
1,8,3,1,0,145,3,1,1,3,0
1,8,4,1,0,122,2,1,1,2,0
1,8,5,1,0,145,5,1,1,5,0
1,8,7,1,0,168,1,1,1,1,0
1,9,10,1,0,176.6,5,2,1,5,0
1,9,11,1,0,141.8,2,2,1,2,0
1,9,12,1,0,141.8,1,2,1,1,0
1,9,14,1,0,141.8,3,2,1,3,0
1,9,15,1,0,141.8,4,2,1,4,0
1,10,11,1,0,141.8,2,2,1,2,0
1,10,12,1,0,141.8,1,2,1,1,0
1,10,14,1,0,141.8,3,2,1,3,0
1,10,15,1,0,141.8,4,2,1,4,0
1,11,10,1,2,176.6,5,2,1,5,0
1,11,12,1,0,141.8,1,2,1,1,0
1,11,14,1,0,141.8,3,2,1,3,0
1,11,15,1,0,141.8,4,2,1,4,0
1,12,10,1,0,176.6,5,2,1,5,0
1,12,11,1,0,141.8,2,2,1,2,0
1,12,14,1,0,141.8,3,2,1,3,0
1,12,15,1,0,141.8,4,2,1,4,0
1,13,10,1,0,176.6,5,2,1,5,0
1,13,11,1,0,141.8,2,2,1,2,0
1,13,12,1,0,141.8,1,2,1,1,0
1,13,14,1,0,141.8,3,2,1,3,0
1,13,15,1,0,141.8,4,2,1,4,0
1,14,10,1,0,176.6,5,2,1,5,0
1,14,11,1,0,141.8,2,2,1,2,0
1,14,12,1,0,141.8,1,2,1,1,0
1,14,15,1,0,141.8,4,2,1,4,0
1,15,10,1,2,176.6,5,2,1,5,0
1,15,11,1,0,141.8,2,2,1,2,0
1,15,12,1,0,141.8,1,2,1,1,0
1,15,14,1,0,141.8,3,2,1,3,0
1,16,10,1,0,176.6,5,2,1,5,0
1,16,11,1,0,141.8,2,2,1,2,0
1,16,12,1,0,141.8,1,2,1,1,0
1,16,14,1,0,141.8,3,2,1,3,0
1,16,15,1,0,141.8,4,2,1,4,0
2,1,3,1,0,164.6,3,1,1,3,0
2,1,4,1,0,120.2,2,1,1,2,0
2,1,5,1,0,164.6,5,1,1,5,0
2,1,7,1,0,201.6,1,1,1,1,0
2,1,8,1,0,164.6,4,1,1,4,0
2,2,3,1,0,164.6,3,1,1,3,0
2,2,4,1,0,120.2,2,1,1,2,0
2,2,5,1,0,164.6,5,1,1,5,0
2,2,7,1,0,201.6,1,1,1,1,0
2,2,8,1,0,164.6,4,1,1,4,0
2,3,4,1,0,120.2,2,1,1,2,0
2,3,5,1,0,164.6,5,1,1,5,0
2,3,7,1,15,201.6,1,1,1,1,0
2,3,8,1,0,164.6,4,1,1,4,0
2,4,3,1,0,164.6,3,1,1,3,0
2,4,5,1,0,164.6,5,1,1,5,0
2,4,7,1,1,201.6,1,1,1,1,0
2,4,8,1,0,164.6,4,1,1,4,0
2,5,3,1,0,164.6,3,1,1,3,0
2,5,4,1,0,120.2,2,1,1,2,0
2,5,7,1,0,201.6,1,1,1,1,0
2,5,8,1,0,164.6,4,1,1,4,0
2,6,3,1,0,164.6,3,1,1,3,0
2,6,4,1,0,120.2,2,1,1,2,0
2,6,5,1,0,164.6,5,1,1,5,0
2,6,7,1,0,201.6,1,1,1,1,0
2,6,8,1,0,164.6,4,1,1,4,0
2,7,3,1,1,164.6,3,1,1,3,0
2,7,4,1,0,120.2,2,1,1,2,0
2,7,5,1,1,164.6,5,1,1,5,0
2,7,8,1,1,164.6,4,1,1,4,0
2,8,3,1,0,164.6,3,1,1,3,0
2,8,4,1,0,120.2,2,1,1,2,0
2,8,5,1,0,164.6,5,1,1,5,0
2,8,7,1,0,201.6,1,1,1,1,0
2,9,10,1,0,166.8,5,2,1,5,0
2,9,11,1,0,139.8,2,2,1,2,0
2,9,12,1,0,145.2,1,2,1,1,0
2,9,14,1,0,139.8,3,2,1,3,0
2,9,15,1,0,150.6,4,2,1,4,0
2,10,11,1,0,139.8,2,2,1,2,0
2,10,12,1,0,145.2,1,2,1,1,0
2,10,14,1,0,139.8,3,2,1,3,0
2,10,15,1,0,150.6,4,2,1,4,0
2,11,10,1,0,166.8,5,2,1,5,0
2,11,12,1,0,145.2,1,2,1,1,0
2,11,14,1,0,139.8,3,2,1,3,0
2,11,15,1,0,150.6,4,2,1,4,0
2,12,10,1,0,166.8,5,2,1,5,0
2,12,11,1,0,139.8,2,2,1,2,0
2,12,14,1,0,139.8,3,2,1,3,0
2,12,15,1,0,150.6,4,2,1,4,0
2,13,10,1,0,166.8,5,2,1,5,0
2,13,11,1,0,139.8,2,2,1,2,0
2,13,12,1,0,145.2,1,2,1,1,0
2,13,14,1,0,139.8,3,2,1,3,0
2,13,15,1,0,150.6,4,2,1,4,0
2,14,10,1,0,166.8,5,2,1,5,0
2,14,11,1,0,139.8,2,2,1,2,0
2,14,12,1,0,145.2,1,2,1,1,0
2,14,15,1,0,150.6,4,2,1,4,0
2,15,10,1,0,166.8,5,2,1,5,0
2,15,11,1,0,139.8,2,2,1,2,0
2,15,12,1,0,145.2,1,2,1,1,0
2,15,14,1,0,139.8,3,2,1,3,0
2,16,10,1,0,166.8,5,2,1,5,0
2,16,11,1,0,139.8,2,2,1,2,0
2,16,12,1,0,145.2,1,2,1,1,0
2,16,14,1,0,139.8,3,2,1,3,0
2,16,15,1,0,150.6,4,2,1,4,0
3,1,3,1,0,150.6,3,1,1,3,0
3,1,4,1,0,118.2,2,1,1,2,0
3,1,5,1,0,145.2,5,1,1,5,0
3,1,7,1,0,177.6,1,1,1,1,0
3,1,8,1,0,177.6,4,1,1,4,0
3,2,3,1,0,150.6,3,1,1,3,0
3,2,4,1,0,118.2,2,1,1,2,0
3,2,5,1,0,145.2,5,1,1,5,0
3,2,7,1,0,177.6,1,1,1,1,0
3,2,8,1,0,177.6,4,1,1,4,0
3,3,4,1,0,118.2,2,1,1,2,0
3,3,5,1,0,145.2,5,1,1,5,0
3,3,7,1,20,177.6,1,1,1,1,0
3,3,8,1,20,177.6,4,1,1,4,0
3,4,3,1,0,150.6,3,1,1,3,0
3,4,5,1,0,145.2,5,1,1,5,0
3,4,7,1,0,177.6,1,1,1,1,0
3,4,8,1,0,177.6,4,1,1,4,0
3,5,3,1,0,150.6,3,1,1,3,0
3,5,4,1,3,118.2,2,1,1,2,0
3,5,7,1,0,177.6,1,1,1,1,0
3,5,8,1,0,177.6,4,1,1,4,0
3,6,3,1,0,150.6,3,1,1,3,0
3,6,4,1,0,118.2,2,1,1,2,0
3,6,5,1,0,145.2,5,1,1,5,0
3,6,7,1,0,177.6,1,1,1,1,0
3,6,8,1,0,177.6,4,1,1,4,0
3,7,3,1,1,150.6,3,1,1,3,0
3,7,4,1,0,118.2,2,1,1,2,0
3,7,5,1,1,145.2,5,1,1,5,0
3,7,8,1,2,177.6,4,1,1,4,0
3,8,3,1,0,150.6,3,1,1,3,0
3,8,4,1,0,118.2,2,1,1,2,0
3,8,5,1,0,145.2,5,1,1,5,0
3,8,7,1,0,177.6,1,1,1,1,0
3,9,10,1,0,163.2,5,2,1,5,0
3,9,11,1,0,133.8,2,2,1,2,0
3,9,12,1,0,146.4,1,2,1,1,0
3,9,14,1,0,129.6,3,2,1,3,0
3,9,15,1,0,154.8,4,2,1,4,0
3,10,11,1,0,133.8,2,2,1,2,0
3,10,12,1,0,146.4,1,2,1,1,0
3,10,14,1,0,129.6,3,2,1,3,0
3,10,15,1,0,154.8,4,2,1,4,0
3,11,10,1,0,163.2,5,2,1,5,0
3,11,12,1,0,146.4,1,2,1,1,0
3,11,14,1,0,129.6,3,2,1,3,0
3,11,15,1,0,154.8,4,2,1,4,0
3,12,10,1,0,163.2,5,2,1,5,0
3,12,11,1,0,133.8,2,2,1,2,0
3,12,14,1,0,129.6,3,2,1,3,0
3,12,15,1,0,154.8,4,2,1,4,0
3,13,10,1,0,163.2,5,2,1,5,0
3,13,11,1,0,133.8,2,2,1,2,0
3,13,12,1,0,146.4,1,2,1,1,0
3,13,14,1,0,129.6,3,2,1,3,0
3,13,15,1,0,154.8,4,2,1,4,0
3,14,10,1,0,163.2,5,2,1,5,0
3,14,11,1,0,133.8,2,2,1,2,0
3,14,12,1,0,146.4,1,2,1,1,0
3,14,15,1,0,154.8,4,2,1,4,0
3,15,10,1,0,163.2,5,2,1,5,0
3,15,11,1,0,133.8,2,2,1,2,0
