treatment,subject,group,age,sex,survey_risk,trust,fair,fate
zero,1,1,20,Male,4,3,2,8
zero,2,1,19,Male,6,4,5,7
zero,3,1,22,Male,6,3,8,5
zero,4,1,19,Female,7,5,5,7
zero,5,1,20,Male,7,9,2,9
zero,6,1,22,Male,8,3,8,9
zero,7,1,20,Female,5,8,8,8
zero,8,1,21,Female,8,9,4,8
zero,1,2,21,Female,10,7,3,10
zero,2,2,20,Male,7,4,5,10
zero,3,2,22,Male,7,8,3,4
zero,4,2,21,Female,6,4,6,8
zero,5,2,20,Male,8,10,3,9
zero,6,2,20,Female,8,3,8,10
zero,7,2,18,Female,7,3,4,4
zero,8,2,19,Female,7,9,4,8
zero,1,3,20,Male,7,2,8,10
zero,2,3,21,Male,5,3,6,9
zero,3,3,22,Male,8,8,2,8
zero,4,3,18,Male,8,2,9,8
zero,5,3,20,Female,5,2,6,8
zero,6,3,19,Female,6,6,5,10
zero,7,3,20,Male,6,10,1,9
zero,8,3,20,Male,8,4,9,10
zero,1,4,18,Female,7,2,8,5
zero,2,4,20,Male,7,8,4,9
zero,3,4,20,Female,7,8,2,9
zero,4,4,19,Male,6,4,5,9
zero,5,4,21,Female,8,3,3,9
zero,6,4,21,Female,5,7,5,10
zero,7,4,18,Female,7,2,8,6
zero,8,4,19,Female,0,1,6,1
partial,1,1,22,Female,7,9,5,8
partial,2,1,22,Female,7,7,7,8
partial,3,1,18,Female,7,8,4,7
partial,4,1,18,Male,8,8,3,10
partial,5,1,20,Male,8,5,6,6
partial,6,1,20,Female,5,5,3,6
partial,7,1,18,Female,10,7,3,9
partial,8,1,20,Male,10,3,7,10
partial,1,2,21,Male,10,9,2,10
partial,2,2,21,Male,5,4,3,9
partial,3,2,20,Male,5,10,1,7
partial,4,2,19,Female,5,3,3,5
partial,5,2,20,Female,5,9,5,2
partial,6,2,21,Female,4,8,1,7
partial,7,2,21,Male,5,8,4,4
partial,8,2,21,Male,10,10,1,5
partial,1,3,18,Female,10,1,10,10
partial,2,3,21,Male,7,8,3,10
partial,3,3,21,Female,7,10,1,10
partial,4,3,21,Male,5,7,4,4
partial,5,3,19,Female,8,8,4,10
partial,6,3,21,Male,6,3,5,8
partial,7,3,21,Male,9,10,2,2
partial,8,3,19,Male,10,4,10,10
partial,1,4,20,Female,8,8,3,3
partial,2,4,21,Female,7,2,8,8
partial,3,4,23,Female,9,6,5,9
partial,4,4,19,Female,5,8,3,7
partial,5,4,22,Female,8,3,3,9
partial,6,4,27,Female,6,8,2,7
partial,7,4,22,Male,7,1,1,10
partial,8,4,19,Male,9,8,3,9
full,1,1,18,Male,9,3,7,10
full,2,1,20,Female,5,9,9,8
full,3,1,19,Male,8,10,7,8
full,4,1,21,Male,7,4,2,6
full,5,1,20,Female,5,10,2,10
full,6,1,19,Male,7,4,6,7
full,7,1,21,Male,7,4,5,8
full,8,1,20,Female,6,7,5,6
full,1,2,20,Female,8,5,2,4
full,2,2,21,Female,6,9,2,8
full,3,2,22,Female,5,4,3,8
full,4,2,23,Female,7,6,6,9
full,5,2,22,Male,2,3,3,8
full,6,2,19,Male,8,9,3,8
full,7,2,22,Male,6,4,5,4
full,8,2,18,Female,7,3,4,8
full,1,3,20,Female,7,9,4,8
full,2,3,25,Female,6,4,6,5
full,3,3,20,Female,10,10,5,2
full,4,3,20,Female,8,4,3,7
full,5,3,20,Male,10,3,8,10
full,6,3,22,Male,4,3,5,8
full,7,3,21,Male,7,7,4,10
full,8,3,21,Female,6,6,8,6
full,1,4,18,Male,7,4,7,7
full,2,4,22,Female,8,4,4,8
full,3,4,21,Female,7,8,7,8
full,4,4,21,Female,6,4,4,6
full,5,4,19,Female,10,10,1,9
full,6,4,21,Female,3,5,5,7
full,7,4,19,Male,5,8,4,8
full,8,4,20,Male,4,5,5,9
