Treatment,Period,Subject,Group,Profit,TotalProfit,Type,Group1_ID,Group2_ID,Investment,sumInvestment,sumInvestmentGroup1,sumInvestmentGroup2,Profit1_Public_Total,Profit1_Private,Profit1_Public,Fixed,Profit1,TypeP,Assigned,ReceivedPoints,Received,Reduction,Profit2
ZERO,1,1,1,145,145,2,0,2,7,61,40,21,402.6,10,46.2,88.8,145,0,0,0,0,0,145
ZERO,1,2,1,140.4,140.4,2,0,1,6,61,40,21,402.6,12,39.6,88.8,140.4,0,0,0,0,0,140.4
ZERO,1,3,1,102,102,1,3,0,7,61,40,21,402.6,10,46.2,88.8,145,1,40,1,3,43,102
ZERO,1,4,1,119,119,1,2,0,2,61,40,21,402.6,20,13.2,88.8,122,1,0,1,3,3,119
ZERO,1,5,1,141,141,1,5,0,7,61,40,21,402.6,10,46.2,88.8,145,1,1,1,3,4,141
ZERO,1,6,1,149.6,149.6,2,0,3,8,61,40,21,402.6,8,52.8,88.8,149.6,0,0,0,0,0,149.6
ZERO,1,7,1,105,105,1,1,0,12,61,40,21,402.6,0,79.2,88.8,168,1,3,20,60,63,105
ZERO,1,8,1,105,105,1,4,0,12,61,40,21,402.6,0,79.2,88.8,168,1,0,21,63,63,105
ZERO,1,9,2,182.4,182.4,2,0,2,12,58,31,27,452.4,0,93.6,88.8,182.4,0,0,0,0,0,182.4
ZERO,1,10,2,164.6,164.6,1,5,0,11,58,31,27,452.4,2,85.8,88.8,176.6,1,0,4,12,12,164.6
ZERO,1,11,2,139.8,139.8,1,2,0,5,58,31,27,452.4,14,39,88.8,141.8,1,2,0,0,2,139.8
ZERO,1,12,2,141.8,141.8,1,1,0,5,58,31,27,452.4,14,39,88.8,141.8,1,0,0,0,0,141.8
ZERO,1,13,2,141.8,141.8,2,0,3,5,58,31,27,452.4,14,39,88.8,141.8,0,0,0,0,0,141.8
ZERO,1,14,2,141.8,141.8,1,3,0,5,58,31,27,452.4,14,39,88.8,141.8,1,0,0,0,0,141.8
ZERO,1,15,2,139.8,139.8,1,4,0,5,58,31,27,452.4,14,39,88.8,141.8,1,2,0,0,2,139.8
ZERO,1,16,2,170.8,170.8,2,0,1,10,58,31,27,452.4,4,78,88.8,170.8,0,0,0,0,0,170.8
ZERO,2,1,1,172,317,2,0,2,8,54,34,20,507.6,8,75.2,88.8,172,0,0,0,0,0,172
ZERO,2,2,1,149.8,290.2,2,0,1,5,54,34,20,507.6,14,47,88.8,149.8,0,0,0,0,0,149.8
ZERO,2,3,1,146.6,248.6,1,3,0,7,54,34,20,507.6,10,65.8,88.8,164.6,1,15,1,3,18,146.6
ZERO,2,4,1,119.2,238.2,1,2,0,1,54,34,20,507.6,22,9.4,88.8,120.2,1,1,0,0,1,119.2
ZERO,2,5,1,161.6,302.6,1,5,0,7,54,34,20,507.6,10,65.8,88.8,164.6,1,0,1,3,3,161.6
ZERO,2,6,1,164.6,314.2,2,0,3,7,54,34,20,507.6,10,65.8,88.8,164.6,0,0,0,0,0,164.6
ZERO,2,7,1,150.6,255.6,1,1,0,12,54,34,20,507.6,0,112.8,88.8,201.6,1,3,16,48,51,150.6
ZERO,2,8,1,161.6,266.6,1,4,0,7,54,34,20,507.6,10,65.8,88.8,164.6,1,0,1,3,3,161.6
ZERO,2,9,2,177.6,360,2,0,2,12,59,33,26,436.6,0,88.8,88.8,177.6,0,0,0,0,0,177.6
ZERO,2,10,2,166.8,331.4,1,5,0,10,59,33,26,436.6,4,74,88.8,166.8,1,0,0,0,0,166.8
ZERO,2,11,2,139.8,279.6,1,2,0,5,59,33,26,436.6,14,37,88.8,139.8,1,0,0,0,0,139.8
ZERO,2,12,2,145.2,287,1,1,0,6,59,33,26,436.6,12,44.4,88.8,145.2,1,0,0,0,0,145.2
ZERO,2,13,2,129,270.8,2,0,3,3,59,33,26,436.6,18,22.2,88.8,129,0,0,0,0,0,129
ZERO,2,14,2,139.8,281.6,1,3,0,5,59,33,26,436.6,14,37,88.8,139.8,1,0,0,0,0,139.8
ZERO,2,15,2,150.6,290.4,1,4,0,7,59,33,26,436.6,10,51.8,88.8,150.6,1,0,0,0,0,150.6
ZERO,2,16,2,172.2,343,2,0,1,11,59,33,26,436.6,2,81.4,88.8,172.2,0,0,0,0,0,172.2
ZERO,3,1,1,166.8,483.8,2,0,2,10,59,38,21,436.6,4,74,88.8,166.8,0,0,0,0,0,166.8
ZERO,3,2,1,134.4,424.6,2,0,1,4,59,38,21,436.6,16,29.6,88.8,134.4,0,0,0,0,0,134.4
ZERO,3,3,1,107.6,356.2,1,3,0,7,59,38,21,436.6,10,51.8,88.8,150.6,1,40,1,3,43,107.6
